competition_id,source_label,canonical_name,organizer_scope,competition_type,importance_level,model_scope,extra_time_possible,normalization_source,notes
afc_asian_cup,AFC Asian Cup,AFC Asian Cup,AFC,continental_final,4,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
afc_asian_cup_qualification,AFC Asian Cup qualification,AFC Asian Cup qualification,AFC,continental_qualification,3,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
asean_championship,AFF Championship,ASEAN Championship,AFC,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
asean_championship_qualification,AFF Championship qualification,ASEAN Championship qualification,AFC,regional_qualification,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
asean_championship,ASEAN Championship,ASEAN Championship,AFC,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
asean_championship_qualification,ASEAN Championship qualification,ASEAN Championship qualification,AFC,regional_qualification,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
african_cup_of_nations,African Cup of Nations,African Cup of Nations,CAF,continental_final,4,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
african_cup_of_nations_qualification,African Cup of Nations qualification,African Cup of Nations qualification,CAF,continental_qualification,3,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
al_ain_international_cup,Al Ain International Cup,Al Ain International Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
arab_cup,Arab Cup,Arab Cup,UAFA/FIFA,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
arab_cup_qualification,Arab Cup qualification,Arab Cup qualification,GLOBAL,regional_qualification,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
baltic_cup,Baltic Cup,Baltic Cup,UEFA,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
cafa_nations_cup,CAFA Nations Cup,CAFA Nations Cup,AFC,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
concacaf_nations_league,CONCACAF Nations League,CONCACAF Nations League,CONCACAF,nations_league,3,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
concacaf_series,CONCACAF Series,CONCACAF Series,CONCACAF,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
conifa_africa_football_cup,CONIFA Africa Football Cup,CONIFA Africa Football Cup,NON_FIFA,non_fifa_competition,0,exclude,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
conifa_asia_cup,CONIFA Asia Cup,CONIFA Asia Cup,NON_FIFA,non_fifa_competition,0,exclude,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
conifa_south_america_football_cup,CONIFA South America Football Cup,CONIFA South America Football Cup,NON_FIFA,non_fifa_competition,0,exclude,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
conifa_world_football_cup_qualification,CONIFA World Football Cup qualification,CONIFA World Football Cup qualification,NON_FIFA,non_fifa_competition,0,exclude,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
conmeboluefa_cup_of_champions,CONMEBOL–UEFA Cup of Champions,CONMEBOL–UEFA Cup of Champions,CONMEBOL/UEFA,intercontinental_final,4,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
cosafa_cup,COSAFA Cup,COSAFA Cup,CAF,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
canadian_shield,Canadian Shield,Canadian Shield,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
copa_america,Copa América,Copa América,CONMEBOL,continental_final,4,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
copa_america_qualification,Copa América qualification,Copa América qualification,CONMEBOL,continental_qualification,3,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
diamond_jubilee_international_football_tournament,Diamond Jubilee International Football Tournament,Diamond Jubilee International Football Tournament,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
eaff_championship,EAFF Championship,EAFF Championship,AFC,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
eaff_championship_qualification,EAFF Championship qualification,EAFF Championship qualification,AFC,regional_qualification,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
fifa_series,FIFA Series,FIFA Series,FIFA,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
fifa_world_cup,FIFA World Cup,FIFA World Cup,FIFA,world_final,5,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
fifa_world_cup_qualification,FIFA World Cup qualification,FIFA World Cup qualification,FIFA,world_qualification,4,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
friendly,Friendly,Friendly,INDEPENDENT,friendly,1,include,false,international_results; documented taxonomy,
gold_cup,Gold Cup,Gold Cup,CONCACAF,continental_final,4,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
gold_cup_qualification,Gold Cup qualification,Gold Cup qualification,CONCACAF,continental_qualification,3,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
gulf_cup,Gulf Cup,Gulf Cup,AGCFF,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
indian_ocean_island_games,Indian Ocean Island Games,Indian Ocean Island Games,GLOBAL,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
intercontinental_cup,Intercontinental Cup,Intercontinental Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
island_games,Island Games,Island Games,NON_FIFA,non_fifa_competition,0,exclude,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
jordan_international_tournament,Jordan International Tournament,Jordan International Tournament,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
king_s_cup,King's Cup,King's Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
kirin_challenge_cup,Kirin Challenge Cup,Kirin Challenge Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
kirin_cup,Kirin Cup,Kirin Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
msg_prime_minister_s_cup,MSG Prime Minister's Cup,MSG Prime Minister's Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
mahinda_rajapaksa_cup,Mahinda Rajapaksa Cup,Mahinda Rajapaksa Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
mapinduzi_cup,Mapinduzi Cup,Mapinduzi Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
marianas_cup,Marianas Cup,Marianas Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
mauritius_four_nations_cup,Mauritius Four Nations Cup,Mauritius Four Nations Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
merdeka_tournament,Merdeka Tournament,Merdeka Tournament,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
morocco_capital_of_african_football,"Morocco, Capital of African Football","Morocco, Capital of African Football",GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
mukuru_4_nations,Mukuru 4 Nations,Mukuru 4 Nations,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
muratti_vase,Muratti Vase,Muratti Vase,NON_FIFA,non_fifa_competition,0,exclude,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
navruz_cup,Navruz Cup,Navruz Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
oceania_nations_cup,Oceania Nations Cup,Oceania Nations Cup,OFC,continental_final,4,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
oceania_nations_cup_qualification,Oceania Nations Cup qualification,Oceania Nations Cup qualification,OFC,continental_qualification,3,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
outrigger_challenge_cup,Outrigger Challenge Cup,Outrigger Challenge Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
pacific_games,Pacific Games,Pacific Games,OFC,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
saff_cup,SAFF Cup,SAFF Cup,AFC,regional_championship,2,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
soccer_ashes,Soccer Ashes,Soccer Ashes,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
south_asian_super_cup,South Asian Super Cup,South Asian Super Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
three_nations_cup,Three Nations Cup,Three Nations Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
tri_nation_tournament,Tri Nation Tournament,Tri Nation Tournament,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
tri_nations_cup,Tri-Nations Cup,Tri-Nations Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
tri_nations_series,Tri-Nations Series,Tri-Nations Series,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
uefa_euro,UEFA Euro,UEFA Euro,UEFA,continental_final,4,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
uefa_euro_qualification,UEFA Euro qualification,UEFA Euro qualification,UEFA,continental_qualification,3,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
uefa_nations_league,UEFA Nations League,UEFA Nations League,UEFA,nations_league,3,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
unity_cup,Unity Cup,Unity Cup,GLOBAL,invitational,1,include,true,international_results; documented taxonomy,Phase rules must decide whether extra time applies to a match.
